Station_Name,Lat,Lon,Elev,Year,Month,Day,Solar radiation in W/m2,Wind speed in m/s,Rainfall in mm
KADUHA_AWS,-2.32,29.53,1885,2018,1,1,180.91,1.13,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,2,120.28,0.91,5.8
KADUHA_AWS,-2.32,29.53,1885,2018,1,3,154.84,0.94,2.6
KADUHA_AWS,-2.32,29.53,1885,2018,1,4,134.49,0.83,1.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,5,130.8,1.22,1.4
KADUHA_AWS,-2.32,29.53,1885,2018,1,6,174.06,1.47,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,7,202.97,1.2,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,8,196.91,1.66,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,9,44.9,0.92,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,10,161.75,1,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,11,116.11,0.84,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,12,93.37,0.95,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,13,98,0.93,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,14,182.64,1.15,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,15,10.51,1.48,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,16,285.21,1.24,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,17,207.23,1.25,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,18,202.45,1.18,0.4
KADUHA_AWS,-2.32,29.53,1885,2018,1,19,196.82,1.2,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,20,125.03,1.34,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,1,21,187.07,1.01,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,22,228.37,0.93,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,23,216.26,1.31,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,24,149.02,1.02,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,25,220.68,1.02,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,26,279.79,1.18,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,27,163.58,1.09,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,28,221.47,1.06,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,29,187.42,0.89,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,30,108.57,0.9,0
KADUHA_AWS,-2.32,29.53,1885,2018,1,31,232.77,1.15,0
KADUHA_AWS,-2.32,29.53,1885,2018,2,1,146.47,0.74,45.8
KADUHA_AWS,-2.32,29.53,1885,2018,2,2,229.5,1.26,8.2
KADUHA_AWS,-2.32,29.53,1885,2018,2,3,50.07,0.57,0
KADUHA_AWS,-2.32,29.53,1885,2018,2,16,308.23,1.93,0
KADUHA_AWS,-2.32,29.53,1885,2018,2,17,239.08,1.64,0
KADUHA_AWS,-2.32,29.53,1885,2018,2,18,202.23,1.69,0
KADUHA_AWS,-2.32,29.53,1885,2018,2,19,192.52,1.27,27.8
KADUHA_AWS,-2.32,29.53,1885,2018,3,2,22.68,0.73,1.4
KADUHA_AWS,-2.32,29.53,1885,2018,3,3,129.35,0.99,0.8
KADUHA_AWS,-2.32,29.53,1885,2018,3,4,276.12,1.39,4.8
KADUHA_AWS,-2.32,29.53,1885,2018,3,5,242.99,0.95,8
KADUHA_AWS,-2.32,29.53,1885,2018,3,12,24.01,1.74,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,13,145.07,0.95,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,14,360.34,0.95,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,15,89.77,1.37,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,19,41.79,0.58,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,20,137.82,0.43,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,3,21,143.24,0.75,9.6
KADUHA_AWS,-2.32,29.53,1885,2018,3,22,136.23,0.19,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,3,23,329.71,1.49,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,3,24,81.39,0.88,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,25,214.63,0.96,3.6
KADUHA_AWS,-2.32,29.53,1885,2018,3,26,232.07,1.02,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,27,174.26,1.4,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,28,147.96,1.05,2
KADUHA_AWS,-2.32,29.53,1885,2018,3,29,252.43,0.95,0
KADUHA_AWS,-2.32,29.53,1885,2018,3,30,220.68,0.78,3
KADUHA_AWS,-2.32,29.53,1885,2018,3,31,141.82,0.83,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,1,230.58,1.3,1.4
KADUHA_AWS,-2.32,29.53,1885,2018,4,2,274.52,0.77,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,4,3,217.44,1.32,2
KADUHA_AWS,-2.32,29.53,1885,2018,4,4,42.36,0.02,0.4
KADUHA_AWS,-2.32,29.53,1885,2018,4,8,107.07,1.62,6.8
KADUHA_AWS,-2.32,29.53,1885,2018,4,9,108.96,0.62,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,10,234.35,0.69,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,11,142.79,1.07,12.4
KADUHA_AWS,-2.32,29.53,1885,2018,4,12,161.71,0.91,4
KADUHA_AWS,-2.32,29.53,1885,2018,4,13,145.95,0.71,2
KADUHA_AWS,-2.32,29.53,1885,2018,4,14,121.91,0.65,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,15,230.87,0.28,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,16,122.81,0.41,2.8
KADUHA_AWS,-2.32,29.53,1885,2018,4,17,88.16,0.74,3.4
KADUHA_AWS,-2.32,29.53,1885,2018,4,18,194.48,0.58,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,4,19,200.18,0.93,3.6
KADUHA_AWS,-2.32,29.53,1885,2018,4,20,103.88,0.73,1
KADUHA_AWS,-2.32,29.53,1885,2018,4,21,58.49,0.47,9
KADUHA_AWS,-2.32,29.53,1885,2018,4,22,110.93,0.51,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,4,23,246.84,0.31,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,26,108.2,0.83,7
KADUHA_AWS,-2.32,29.53,1885,2018,4,27,256.04,1.15,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,28,40,0.67,0
KADUHA_AWS,-2.32,29.53,1885,2018,4,29,122.61,0.71,9.8
KADUHA_AWS,-2.32,29.53,1885,2018,4,30,158.97,0.99,6.6
KADUHA_AWS,-2.32,29.53,1885,2018,5,1,177.46,1.18,15.2
KADUHA_AWS,-2.32,29.53,1885,2018,5,2,146.14,1.13,1
KADUHA_AWS,-2.32,29.53,1885,2018,5,3,237.25,1.56,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,4,167.41,1.54,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,5,156.5,1.04,16
KADUHA_AWS,-2.32,29.53,1885,2018,5,6,244.37,1.13,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,5,7,111.82,0.89,12.8
KADUHA_AWS,-2.32,29.53,1885,2018,5,8,151.43,1.15,5
KADUHA_AWS,-2.32,29.53,1885,2018,5,9,263.53,1.48,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,10,121.08,1.1,7
KADUHA_AWS,-2.32,29.53,1885,2018,5,11,172.39,1.32,10.4
KADUHA_AWS,-2.32,29.53,1885,2018,5,12,141.54,0.98,0.6
KADUHA_AWS,-2.32,29.53,1885,2018,5,13,343.98,1.43,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,14,191.94,0.97,4
KADUHA_AWS,-2.32,29.53,1885,2018,5,15,54.87,0.9,24.8
KADUHA_AWS,-2.32,29.53,1885,2018,5,16,279.39,1.31,2.6
KADUHA_AWS,-2.32,29.53,1885,2018,5,17,172.26,0.03,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,18,280.99,0,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,5,19,126.51,0,1.6
KADUHA_AWS,-2.32,29.53,1885,2018,5,20,230.89,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,21,159.06,0,3
KADUHA_AWS,-2.32,29.53,1885,2018,5,22,138.61,0,4
KADUHA_AWS,-2.32,29.53,1885,2018,5,23,182.61,0,1.2
KADUHA_AWS,-2.32,29.53,1885,2018,5,24,139.01,0,1.2
KADUHA_AWS,-2.32,29.53,1885,2018,5,25,195.43,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,26,178.03,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,27,120.52,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,28,188.17,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,29,272,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,5,30,297.94,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,1,348.33,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,2,182.5,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,3,193.4,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,4,157.95,0,4.4
KADUHA_AWS,-2.32,29.53,1885,2018,6,5,254.42,0,2.6
KADUHA_AWS,-2.32,29.53,1885,2018,6,6,253.2,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,7,258.06,0,0.2
KADUHA_AWS,-2.32,29.53,1885,2018,6,8,178.99,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,9,317.08,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,10,284.82,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,11,295.31,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,12,346.3,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,13,265.62,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,14,186.81,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,15,278.97,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,16,355,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,17,225.91,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,18,272.52,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,19,186.53,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,20,150.97,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,21,128.57,0,3.6
KADUHA_AWS,-2.32,29.53,1885,2018,6,22,122.81,0,0.4
KADUHA_AWS,-2.32,29.53,1885,2018,6,23,258.92,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,24,234.4,0,0
KADUHA_AWS,-2.32,29.53,1885,2018,6,25,241.59,0,0
